,Rowid_,VALUE,COUNT,ISO_AG11_15,GT_DEM,PMEAN_ALL,TMAX8,TMEAN_ALL,DTMEAN8_12,P_N,INT_CNL_EUC,R2
24,,25,1,97,636,43,245,58,216,0,49000000,1
136,,137,1,97,410,49,259,71,218,0,60999996,1
178,,179,1,106,798,31,247,59,219,0,1153999872,1
292,,293,1,106,1199,29,218,36,215,0,1961000064,1
349,,350,1,97,474,43,256,68,220,0,16000000,1
446,,447,1,106,1060,28,231,46,215,0,1690000000,1
772,,773,1,104,471,55,249,64,212,0,744999936,1
787,,788,1,106,1066,26,228,44,217,0,1165000064,1
847,,848,1,106,1014,26,236,50,217,0,1059999936,1
1015,,1016,1,104,597,50,248,62,213,0,340000032,1
1110,,1111,1,97,563,39,256,68,217,0,0,1
1289,,1290,1,97,904,32,258,67,217,0,170000016,1
1349,,1350,1,104,646,58,247,62,208,0,1468999936,1
1375,,1376,1,44,100,101,220,97,142,0,1433000192,1
1587,,1588,1,106,1461,33,199,21,208,0,1697000064,1
1612,,1613,1,97,792,25,243,54,216,0,85000008,1
1714,,1715,1,49,2,126,230,97,143,0,146000000,1
1729,,1730,1,97,528,29,268,74,217,0,101000008,1
1836,,1837,1,97,517,28,268,75,216,0,145000000,1
1881,,1882,1,57,165,148,227,91,144,0,292000000,1
1995,,1996,1,44,130,108,226,87,140,0,1180999936,1
2029,,2030,1,38,5,98,225,99,130,0,0,1
2398,,2399,1,106,978,42,222,39,207,0,981000000,1
2663,,2664,1,44,95,98,223,94,133,0,324999968,1
2669,,2670,1,38,55,97,221,93,133,0,2000000,1
2710,,2711,1,106,899,41,236,49,210,0,1008999936,1
2723,,2724,1,49,61,99,224,95,131,0,297999968,1
2724,,2725,1,49,61,98,223,95,131,0,292999968,1
2860,,2861,1,49,9,132,237,98,146,0,0,1
2959,,2960,1,38,76,103,224,93,136,0,13000000,1
3096,,3097,1,106,881,27,256,60,223,0,1191999872,1
3135,,3136,1,49,47,116,235,95,141,0,4999999,1
3211,,3212,1,97,468,25,273,84,212,0,185000000,1
3500,,3501,1,106,1271,28,228,37,219,0,1297000064,1
3577,,3578,1,38,145,106,211,87,124,0,65000000,1
3611,,3612,1,97,430,24,268,79,214,0,57999996,1
3689,,3690,1,38,12,83,222,97,130,0,18000000,1
3694,,3695,1,49,26,94,229,98,132,0,40999996,1
3698,,3699,1,49,28,103,235,97,135,0,13000000,1
3715,,3716,1,106,1085,32,237,48,212,0,1028000000,1
3737,,3738,1,38,116,98,209,88,122,0,8000000,1
3824,,3825,1,38,156,95,208,88,121,0,16000000,1
3877,,3878,1,38,6,75,220,98,126,0,0,1
4213,,4214,1,38,19,70,215,97,121,0,65000000,1
4602,,4603,1,38,427,119,202,77,124,0,89000008,1
4653,,4654,1,104,515,62,264,74,211,0,1625000064,1
4741,,4742,1,38,356,109,201,78,122,0,25000000,1
4809,,4810,1,88,807,65,245,61,205,0,1000000,1
5111,,5112,1,38,131,95,224,95,128,0,100000000,1
5463,,5464,1,38,414,103,217,88,127,0,96999992,1
5677,,5678,1,104,727,61,252,62,209,0,841000000,1
5762,,5763,1,23,51,46,205,97,107,0,244999984,1
